,dj,location,timestamp_start,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness
109,Felix Da Housecat,Circus,6250,"Gichy Dan's Beachwood - On A Day Like Today (Todd Terje ""Friendly Children"" Edit)",6450.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",123.98387145996094,209197.015625,1.1975300312042236,F,minor,3670.8974609375
110,Felix Da Housecat,Circus,6450,Jerry C King - I Want You (Jerry C. King's Marvin Rework),6750.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.01164245605469,368126.09375,1.1671233177185059,C#,minor,5360.654296875
111,Felix Da Housecat,Circus,6750,3 Winans Brothers - Dance (Louie Vega Dance Ritual Mix) [feat. The Clark Sisters],inf,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",123.95399475097656,121614.0078125,1.1151418685913086,G,major,2552.34326171875
112,KETTAMA,London,0,Jump (Rushing mix)- Soul Mass Transit System,320.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",140.49623107910156,462075.65625,1.0662790536880493,F#,minor,6242.490234375
113,KETTAMA,London,320,"Trip Advisor (BUGS 2025 Warp Mix) - Sydney Charles, BUGS",552.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",140.6787872314453,293895.96875,1.1191092729568481,C,minor,4609.88232421875
114,KETTAMA,London,552,"Blessing (KETTAMA remix) - Calvin Harris, KETTAMA",792.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",140.91322326660156,343326.90625,1.3230243921279907,C,minor,5115.92724609375
115,KETTAMA,London,792,Skepta Dub -  6 Sense Ned Bennett (Soundcloud),940.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",141.1730194091797,193390.078125,1.1468369960784912,C,minor,3482.659423828125
116,KETTAMA,London,940,Topper top - Sir Spyro (mixed in with something),1102.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",71.04766082763672,286725.59375,1.2099841833114624,C,minor,4534.22021484375
117,KETTAMA,London,1102,ID - ID,1170.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",142.1531219482422,80152.03125,1.081579327583313,E,minor,1930.2911376953125
118,KETTAMA,London,1170,De Moma - Raredub (unreleased),1358.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",142.08543395996094,161830.375,1.114211916923523,D,major,3090.7958984375
127,Marlon Hoffstadt,Melbourne,0,Klubbheads - Kickin' Hard (DJ Daddy Trance Extended Remix),288.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",148.9506378173828,364964.53125,1.14202082157135,G,minor,5329.7646484375
128,Marlon Hoffstadt,Melbourne,288,Andy Farley - Beef Jerky,600.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",149.41766357421875,200068.8125,1.165863037109375,Ab,minor,3562.79052734375
129,Marlon Hoffstadt,Melbourne,600,Question Mark - The Birds,881.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",151.07421875,188466.53125,1.1822929382324219,A,minor,3423.0009765625
